source,target,route,travel_time,n_trips
146,407,N,90,341
146,407,Q,90,148
146,407,R,90,781
146,407,W,90,490
147,146,4,90,96
147,146,6,60,1347
147,146,6X,90,315
147,148,4,90,103
147,148,6,60,1412
147,148,6X,90,250
148,147,4,90,96
148,147,6,90,1347
148,147,6X,90,315
148,149,4,60,103
148,149,6,60,1412
148,149,6X,60,250
148,193,B,120,515
148,193,D,120,916
148,193,F,150,1179
148,193,FX,150,10
148,193,M,150,815
148,249,B,120,515
148,249,D,120,916
148,276,F,90,1179
148,276,FX,90,10
148,277,M,180,815
149,148,4,60,96
149,148,6,60,1347
149,148,6X,60,315
149,150,4,90,103
149,150,6,90,1412
149,150,6X,90,250
150,70,N,660,747
150,146,N,240,545
150,146,Q,240,942
150,149,4,90,96
150,149,6,90,1347
150,149,6X,90,315
150,151,4,120,103
150,151,6,120,1412
150,151,6X,120,250
150,151,J,90,884
150,151,Z,90,30
150,383,J,120,884
150,383,Z,120,30
150,408,N,90,351
150,408,Q,120,145
150,408,R,90,786
150,408,W,90,485
150,409,N,150,149
150,409,R,150,781
150,409,W,150,490
150,410,N,480,25
150,410,Q,480,1062
151,64,4,90,1192
151,64,5,90,863
151,64,J,60,884
151,64,Z,90,30
151,146,4,270,1096
151,146,5,270,763
151,146,5X,270,100
151,150,4,120,96
151,150,6,120,1347
151,150,6X,120,315
151,150,J,120,884
151,150,Z,120,30
152,153,7,150,1681
152,153,7X,150,215
153,152,7,210,1571
153,152,7X,210,325
153,154,7,90,1726
153,156,7X,210,215
154,153,7,120,1721
154,155,7,60,1831
155,154,7,60,1721
155,156,7,60,1831
156,153,7X,210,325
156,155,7,60,1721
156,157,7,60,1831
156,161,7X,240,215
157,156,7,60,1721
157,158,7,60,1831
158,157,7,60,1721
158,159,7,60,1831
159,158,7,60,1721
159,160,7,90,1831
159,219,F,390,1179
159,219,FX,390,10
159,301,E,420,1095
159,301,F,420,1179
159,301,FX,420,10
159,306,E,90,140
159,306,M,90,575
159,306,R,90,781
159,307,E,90,155
159,307,M,90,575
159,307,R,90,781
159,312,E,360,1080
160,159,7,90,1721
160,161,7,120,1831
161,156,7X,240,325
161,160,7,120,1721
161,162,7,90,1831
161,166,7X,330,215
162,161,7,90,1721
162,163,7,60,1831
163,162,7,60,1721
163,164,7,60,1831
164,163,7,60,1721
164,165,7,60,1831
165,164,7,60,1721
165,166,7,120,1831
166,140,N,270,891
166,140,W,270,490
166,161,7X,330,325
166,165,7,120,1721
