source,target,route_id,travel_time
339,617,2,60
339,617,3,60
339,617,4,60
340,339,2,120
340,339,3,120
340,339,4,120
340,341,2,90
340,341,3,90
340,341,4,90
341,340,2,90
341,340,3,90
341,340,4,90
341,626,2,90
341,626,3,90
341,626,4,90
343,344,2,90
343,344,3,90
343,344,4,90
343,626,2,90
343,626,3,90
343,626,4,90
343,626,5,90
344,343,2,120
344,343,3,90
344,343,4,90
344,343,5,120
344,345,2,120
344,345,3,120
344,345,4,120
345,344,2,120
345,344,3,120
345,344,4,120
345,344,5,120
345,346,2,180
345,346,3,150
345,346,4,150
346,345,2,180
346,345,3,150
346,345,4,150
346,345,5,150
346,347,2,90
346,347,3,90
346,347,4,90
347,346,2,90
347,346,3,90
347,346,4,90
347,346,5,90
347,348,2,90
347,348,3,90
347,348,4,90
348,347,2,120
348,347,3,90
348,347,4,90
348,347,5,90
348,349,2,60
348,349,3,60
348,349,4,60
349,348,2,60
349,348,3,60
349,348,4,60
349,348,5,60
349,350,2,90
349,350,3,90
349,350,4,90
350,349,2,120
350,349,3,90
350,349,4,90
350,349,5,90
350,351,2,60
350,351,3,60
350,351,4,60
351,350,2,60
351,350,3,60
351,350,4,60
351,350,5,60
351,352,2,90
351,352,3,60
351,352,4,60
352,351,2,90
352,351,3,90
352,351,4,90
352,351,5,90
353,354,2,60
353,354,5,90
353,626,2,150
353,626,5,150
353,626,5X,150
354,353,2,60
354,353,5,90
354,353,5X,90
354,355,2,90
354,355,5,90
355,354,2,90
355,354,5,90
355,354,5X,90
355,356,2,90
355,356,5,90
356,355,2,60
356,355,5,90
356,355,5X,90
356,357,2,90
356,357,5,90
357,356,2,90
357,356,5,90
357,356,5X,90
357,358,2,90
357,358,5,90
358,357,2,60
358,357,5,60
358,357,5X,60
358,359,2,120
358,359,5,120
359,358,2,120
359,358,5,120
359,358,5X,120
360,361,6,150
360,361,6X,150
361,360,6,150
361,360,6X,150
361,362,6,90
361,362,6X,90
362,361,6,90
362,361,6X,90
362,363,6,90
362,363,6X,90
363,362,6,90
363,362,6X,90
363,364,6,60
363,364,6X,60
364,363,6,60
364,363,6X,60
364,365,6,60
364,365,6X,60
365,364,6,60
365,364,6X,60
365,366,6,90
365,366,6X,120
366,365,6,90
366,365,6X,90
366,367,6,90
366,367,6X,90
367,366,6,60
367,368,6,90
367,368,6X,90
368,367,6,60
368,369,6,60
368,369,6X,60
369,368,6,60
369,370,6,90
369,370,6X,120
370,369,6,90
370,371,6,120
370,371,6X,120
371,366,6X,330
371,370,6,90
371,372,6,90
371,377,6X,420
372,371,6,90
372,373,6,90
373,372,6,90
373,374,6,60
374,373,6,60
374,375,6,120
375,374,6,120
375,376,6,60
376,375,6,60
376,377,6,90
377,371,6X,390
377,376,6,90
377,392,6,180
377,392,6X,180
378,379,4,120
379,378,4,120
379,380,4,90
380,379,4,90
380,381,4,120
381,380,4,120
381,382,4,60
382,381,4,60
382,383,4,60
383,382,4,60
383,384,4,90
384,383,4,90
384,385,4,90
385,384,4,90
385,386,4,60
386,385,4,60
386,387,4,60
387,386,4,60
387,388,4,90
388,387,4,90
388,604,4,120
391,392,4,150
391,392,5,150
391,603,4,90
391,603,5,150
391,603,5X,180
392,377,6,180
392,377,6X,180
392,391,4,150
392,391,5,150
392,391,5X,150
392,393,4,90
392,393,6,90
392,393,6X,90
392,397,5,270
393,392,4,90
393,392,6,90
393,392,6X,90
393,394,4,90
393,394,6,60
393,394,6X,60
394,393,4,90
394,393,6,60
394,393,6X,60
394,395,4,60
394,395,6,60
394,395,6X,60
395,394,4,60
395,394,6,60
395,394,6X,60
395,396,4,90
395,396,6,90
395,396,6X,90
396,395,4,90
396,395,6,90
396,395,6X,90
396,397,4,120
396,397,6,120
396,397,6X,120
397,392,5,270
397,392,5X,300
397,396,4,120
397,396,6,120
397,396,6X,120
397,398,4,90
397,398,6,90
397,398,6X,90
397,613,5,210
398,397,4,90
398,397,6,90
398,397,6X,90
398,399,4,120
398,399,6,90
398,399,6X,90
399,398,4,90
399,398,6,90
399,398,6X,90
399,613,4,90
399,613,6,90
399,613,6X,90
403,404,4,60
403,404,6,60
403,404,6X,60
